dmu,dr,n_reps,health_count,tumor_max_count,done_count,tumor_min_count,fraction
0.0211,0.017368421052631578,10,0,10,0,0,1.0
0.0211,0.018947368421052633,10,0,10,0,0,1.0
0.0211,0.020526315789473684,10,0,10,0,0,1.0
0.0211,0.022105263157894735,10,0,10,0,0,1.0
0.0211,0.02368421052631579,10,0,10,0,0,1.0
0.0211,0.02526315789473684,10,0,10,0,0,1.0
0.0211,0.026842105263157896,10,0,10,0,0,1.0
0.0211,0.028421052631578948,10,0,10,0,0,1.0
0.0211,0.03,10,0,10,0,0,1.0
0.0232,0.0,10,10,0,0,0,0.0
0.0232,0.0015789473684210526,10,10,0,0,0,0.0
0.0232,0.003157894736842105,10,10,0,0,0,0.0
0.0232,0.004736842105263158,10,10,0,0,0,0.0
0.0232,0.00631578947368421,10,10,0,0,0,0.0
0.0232,0.007894736842105263,10,0,0,10,0,1.0
0.0232,0.009473684210526316,10,0,3,7,0,1.0
0.0232,0.011052631578947368,10,0,10,0,0,1.0
0.0232,0.01263157894736842,10,0,10,0,0,1.0
0.0232,0.014210526315789474,10,0,10,0,0,1.0
0.0232,0.015789473684210527,10,0,10,0,0,1.0
0.0232,0.017368421052631578,10,0,10,0,0,1.0
0.0232,0.018947368421052633,10,0,10,0,0,1.0
0.0232,0.020526315789473684,10,0,10,0,0,1.0
0.0232,0.022105263157894735,10,0,10,0,0,1.0
0.0232,0.02368421052631579,10,0,10,0,0,1.0
0.0232,0.02526315789473684,10,0,10,0,0,1.0
0.0232,0.026842105263157896,10,0,10,0,0,1.0
0.0232,0.028421052631578948,10,0,10,0,0,1.0
0.0232,0.03,10,0,10,0,0,1.0
0.0253,0.0,10,10,0,0,0,0.0
0.0253,0.0015789473684210526,10,10,0,0,0,0.0
0.0253,0.003157894736842105,10,10,0,0,0,0.0
0.0253,0.004736842105263158,10,10,0,0,0,0.0
0.0253,0.00631578947368421,10,10,0,0,0,0.0
0.0253,0.007894736842105263,10,10,0,0,0,0.0
0.0253,0.009473684210526316,10,10,0,0,0,0.0
0.0253,0.011052631578947368,10,10,0,0,0,0.0
0.0253,0.01263157894736842,10,2,8,0,0,0.8
0.0253,0.014210526315789474,10,1,9,0,0,0.9
0.0253,0.015789473684210527,10,0,10,0,0,1.0
0.0253,0.017368421052631578,10,0,10,0,0,1.0
0.0253,0.018947368421052633,10,0,10,0,0,1.0
0.0253,0.020526315789473684,10,0,10,0,0,1.0
0.0253,0.022105263157894735,10,0,10,0,0,1.0
0.0253,0.02368421052631579,10,0,10,0,0,1.0
0.0253,0.02526315789473684,10,0,10,0,0,1.0
0.0253,0.026842105263157896,10,0,10,0,0,1.0
0.0253,0.028421052631578948,10,0,10,0,0,1.0
0.0253,0.03,10,0,10,0,0,1.0
0.0274,0.0,10,10,0,0,0,0.0
0.0274,0.0015789473684210526,10,10,0,0,0,0.0
0.0274,0.003157894736842105,10,10,0,0,0,0.0
0.0274,0.004736842105263158,10,10,0,0,0,0.0
0.0274,0.00631578947368421,10,10,0,0,0,0.0
0.0274,0.007894736842105263,10,10,0,0,0,0.0
0.0274,0.009473684210526316,10,10,0,0,0,0.0
0.0274,0.011052631578947368,10,10,0,0,0,0.0
0.0274,0.01263157894736842,10,10,0,0,0,0.0
0.0274,0.014210526315789474,10,10,0,0,0,0.0
0.0274,0.015789473684210527,10,6,4,0,0,0.4
0.0274,0.017368421052631578,10,3,7,0,0,0.7
0.0274,0.018947368421052633,10,1,9,0,0,0.9
0.0274,0.020526315789473684,10,0,10,0,0,1.0
0.0274,0.022105263157894735,10,0,10,0,0,1.0
0.0274,0.02368421052631579,10,0,10,0,0,1.0
0.0274,0.02526315789473684,10,0,10,0,0,1.0
0.0274,0.026842105263157896,10,0,10,0,0,1.0
0.0274,0.028421052631578948,10,0,10,0,0,1.0
0.0274,0.03,10,0,10,0,0,1.0
0.0295,0.0,10,10,0,0,0,0.0
0.0295,0.0015789473684210526,10,10,0,0,0,0.0
0.0295,0.003157894736842105,10,10,0,0,0,0.0
0.0295,0.004736842105263158,10,10,0,0,0,0.0
0.0295,0.00631578947368421,10,10,0,0,0,0.0
0.0295,0.007894736842105263,10,10,0,0,0,0.0
0.0295,0.009473684210526316,10,10,0,0,0,0.0
0.0295,0.011052631578947368,10,10,0,0,0,0.0
0.0295,0.01263157894736842,10,10,0,0,0,0.0
0.0295,0.014210526315789474,10,10,0,0,0,0.0
0.0295,0.015789473684210527,10,10,0,0,0,0.0
0.0295,0.017368421052631578,10,10,0,0,0,0.0
0.0295,0.018947368421052633,10,9,1,0,0,0.1
